Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Sugarcane,2002,Whole Year,Goa,1188.0,2516.3,112467.96,297.0,55.11,65,25,45,6.2,27.57,1481.74,72.96
Banana,2003,Whole Year,Goa,2179.0,3011.6,215677.42,522.96,7.76,65,25,45,6.2,27.88,1413.96,71.8
Coconut,2003,Whole Year,Goa,25110.0,3011.6,2485387.8,6026.4,4867.38,65,25,45,6.2,27.88,1413.96,71.8
Sugarcane,2003,Whole Year,Goa,1210.0,3011.6,119765.8,290.4,47.61,65,25,45,6.2,27.88,1413.96,71.8
Coconut,2004,Whole Year,Goa,25160.0,2518.0,2725834.4,5283.6,4909.375,65,25,45,6.2,27.38,1568.21,73.16
Sugarcane,2004,Whole Year,Goa,1210.0,2518.0,131091.4,254.1,52.75,65,25,45,6.2,27.38,1568.21,73.16
Coconut,2005,Whole Year,Goa,25312.0,3392.8,3035415.04,5315.52,4951.73,65,25,45,6.2,27.19,2305.82,73.96
Sugarcane,2005,Whole Year,Goa,1110.0,3392.8,133111.2,233.1,53.16,65,25,45,6.2,27.19,2305.82,73.96
Coconut,2006,Whole Year,Goa,25468.0,2928.8,3252518.28,5602.96,4974.045,65,25,45,6.2,27.19,2227.9,74.83
Sugarcane,2006,Whole Year,Goa,1120.0,2928.8,143035.2,246.4,55.455,65,25,45,6.2,27.19,2227.9,74.83
Coconut,2007,Whole Year,Goa,25545.0,3674.7,3407703.0,4087.2,4993.77,65,25,45,6.2,27.27,2690.89,75.0
Sugarcane,2007,Whole Year,Goa,1034.0,3674.7,137935.6,165.44,57.615,65,25,45,6.2,27.27,2690.89,75.0
Sugarcane,2008,Whole Year,Goa,1021.0,3271.6,146043.84,91.89,49.52,65,25,45,6.2,27.21,1926.63,73.51
Sugarcane,2009,Whole Year,Goa,893.0,3334.9,139147.26,151.81,50.95,65,25,45,6.2,27.55,2250.34,74.87
Sugarcane,2010,Whole Year,Goa,921.0,4193.3,152987.31,221.04,48.715,65,25,45,6.2,27.57,2687.82,76.13
Sugarcane,2011,Whole Year,Goa,915.0,3340.395455,153280.8,301.95,47.28,65,25,45,6.2,27.27,2167.67,73.98
Sugarcane,2012,Whole Year,Goa,854.0,3048.9,128783.2,264.74,47.765,65,25,45,6.2,27.26,1947.68,73.08
Banana,2013,Whole Year,Goa,2324.0,3642.6,335794.76,627.48,11.315,65,25,45,6.2,27.31,2110.26,73.57
Coconut,2013,Whole Year,Goa,25750.0,3642.6,3720617.5,6952.5,4972.855,65,25,45,6.2,27.31,2110.26,73.57
Sugarcane,2013,Whole Year,Goa,872.0,3642.6,125995.28,235.44,48.06,65,25,45,6.2,27.31,2110.26,73.57
Banana,2014,Whole Year,Goa,2380.0,3491.2,359284.8,785.4,11.29,65,25,45,6.2,27.59,2194.71,72.99
Coconut,2014,Whole Year,Goa,25786.0,3491.2,3892654.56,8509.38,4955.305,65,25,45,6.2,27.59,2194.71,72.99
Sugarcane,2014,Whole Year,Goa,808.0,3491.2,121975.68,266.64,54.35,65,25,45,6.2,27.59,2194.71,72.99
Banana,2015,Whole Year,Goa,2414.0,2587.1,381194.74,796.62,11.315,65,25,45,6.2,27.72,1993.22,72.98
Coconut,2015,Whole Year,Goa,25818.0,2587.1,4076920.38,8519.94,5011.155,65,25,45,6.2,27.72,1993.22,72.98
Sugarcane,2015,Whole Year,Goa,1139.0,2587.1,179859.49,375.87,53.265,65,25,45,6.2,27.72,1993.22,72.98
Banana,2016,Whole Year,Goa,2435.0,3266.9,373163.75,852.25,11.1,65,25,45,6.2,27.35,2582.83,73.0
Coconut,2016,Whole Year,Goa,25913.0,3266.9,3971167.25,9069.55,5087.315,65,25,45,6.2,27.35,2582.83,73.0
Sugarcane,2016,Whole Year,Goa,897.0,3266.9,137465.25,313.95,41.525,65,25,45,6.2,27.35,2582.83,73.0
Banana,2017,Whole Year,Goa,2428.0,2772.5,382264.32,922.64,11.115,65,25,45,6.2,27.48,1982.62,74.01
Coconut,2017,Whole Year,Goa,26169.0,2772.5,4120047.36,9944.22,5027.095,65,25,45,6.2,27.48,1982.62,74.01
Sugarcane,2017,Whole Year,Goa,910.0,2772.5,143270.4,345.8,45.41,65,25,45,6.2,27.48,1982.62,74.01
Banana,2018,Whole Year,Goa,2411.0,4406.0,391064.2,843.85,11.18,65,25,45,6.2,27.57,2090.67,71.99
Coconut,2018,Whole Year,Goa,26381.0,4406.0,4278998.2,9233.35,5013.69,65,25,45,6.2,27.57,2090.67,71.99
Sugarcane,2018,Whole Year,Goa,888.0,4406.0,144033.6,310.8,34.38,65,25,45,6.2,27.57,2090.67,71.99
Banana,2019,Whole Year,Goa,2460.0,4489.5,422529.6,910.2,13.095,65,25,45,6.2,27.55,3627.84,74.47
Coconut,2019,Whole Year,Goa,26542.0,4489.5,4558853.92,9820.54,6359.69,65,25,45,6.2,27.55,3627.84,74.47
Sugarcane,2019,Whole Year,Goa,811.0,4489.5,139297.36,300.07,70.115,65,25,45,6.2,27.55,3627.84,74.47
Banana,1997,Whole Year,Gujarat,19300.0,798.9,1836781.0,5983.0,55.276,75,38,28,7.8,26.78,1009.83,51.08
Garlic,1997,Whole Year,Gujarat,20200.0,798.9,1922434.0,6262.0,6.340909091,75,38,28,7.8,26.78,1009.83,51.08
Onion,1997,Whole Year,Gujarat,20900.0,798.9,1989053.0,6479.0,30.12733333,75,38,28,7.8,26.78,1009.83,51.08
Potato,1997,Whole Year,Gujarat,28500.0,798.9,2712345.0,8835.0,21.167,75,38,28,7.8,26.78,1009.83,51.08
Sugarcane,1997,Whole Year,Gujarat,165000.0,798.9,15703050.0,51150.0,72.99533333,75,38,28,7.8,26.78,1009.83,51.08
Banana,1998,Whole Year,Gujarat,18400.0,775.6,1817920.0,5336.0,63.259,75,38,28,7.8,27.88,758.93,47.48
Garlic,1998,Whole Year,Gujarat,28300.0,775.6,2796040.0,8207.0,6.504,75,38,28,7.8,27.88,758.93,47.48
Onion,1998,Whole Year,Gujarat,52200.0,775.6,5157360.0,15138.0,30.61888889,75,38,28,7.8,27.88,758.93,47.48
Potato,1998,Whole Year,Gujarat,31600.0,775.6,3122080.0,9164.0,22.369,75,38,28,7.8,27.88,758.93,47.48
Sugarcane,1998,Whole Year,Gujarat,196300.0,775.6,19394440.0,56927.0,70.090625,75,38,28,7.8,27.88,758.93,47.48
Banana,1999,Whole Year,Gujarat,16700.0,458.9,1772371.0,4509.0,61.247,75,38,28,7.8,28.45,440.13,40.06
Onion,1999,Whole Year,Gujarat,19900.0,458.9,2111987.0,5373.0,24.14705882,75,38,28,7.8,28.45,440.13,40.06
Potato,1999,Whole Year,Gujarat,31300.0,458.9,3321869.0,8451.0,20.62111111,75,38,28,7.8,28.45,440.13,40.06
Sugarcane,1999,Whole Year,Gujarat,201400.0,458.9,21374582.0,54378.0,73.26,75,38,28,7.8,28.45,440.13,40.06
Banana,2000,Whole Year,Gujarat,22800.0,379.7,2238276.0,5928.0,53.03111111,75,38,28,7.8,28.31,549.8,38.9
Onion,2000,Whole Year,Gujarat,6400.0,379.7,628288.0,1664.0,19.14875,75,38,28,7.8,28.31,549.8,38.9
Potato,2000,Whole Year,Gujarat,32800.0,379.7,3219976.0,8528.0,21.33555556,75,38,28,7.8,28.31,549.8,38.9
Sugarcane,2000,Whole Year,Gujarat,177700.0,379.7,17444809.0,46202.0,67.18071429,75,38,28,7.8,28.31,549.8,38.9
Banana,2001,Whole Year,Gujarat,24400.0,666.5,2491972.0,6344.0,61.91875,75,38,28,7.8,28.07,479.49,39.96
Garlic,2001,Whole Year,Gujarat,9300.0,666.5,949809.0,2418.0,5.978333333,75,38,28,7.8,28.07,479.49,39.96
Onion,2001,Whole Year,Gujarat,24200.0,666.5,2471546.0,6292.0,29.52625,75,38,28,7.8,28.07,479.49,39.96
Potato,2001,Whole Year,Gujarat,32300.0,666.5,3298799.0,8398.0,22.995,75,38,28,7.8,28.07,479.49,39.96
Sugarcane,2001,Whole Year,Gujarat,175800.0,666.5,17954454.0,45708.0,62.97384615,75,38,28,7.8,28.07,479.49,39.96
Garlic,2002,Whole Year,Gujarat,8500.0,458.4,804695.0,2125.0,5.413076923,75,38,28,7.8,28.63,366.66,37.53
Onion,2002,Whole Year,Gujarat,25000.0,458.4,2366750.0,6250.0,28.60875,75,38,28,7.8,28.63,366.66,37.53
Potato,2002,Whole Year,Gujarat,35800.0,458.4,3389186.0,8950.0,20.24333333,75,38,28,7.8,28.63,366.66,37.53
Sugarcane,2002,Whole Year,Gujarat,202900.0,458.4,19208543.0,50725.0,67.23714286,75,38,28,7.8,28.63,366.66,37.53
Banana,2003,Whole Year,Gujarat,28200.0,902.5,2791236.0,6768.0,65.116,75,38,28,7.8,27.32,891.79,48.96
Garlic,2003,Whole Year,Gujarat,27100.0,902.5,2682358.0,6504.0,6.95,75,38,28,7.8,27.32,891.79,48.96
Onion,2003,Whole Year,Gujarat,49100.0,902.5,4859918.0,11784.0,31.65611111,75,38,28,7.8,27.32,891.79,48.96
Potato,2003,Whole Year,Gujarat,31000.0,902.5,3068380.0,7440.0,22.146,75,38,28,7.8,27.32,891.79,48.96
Sugarcane,2003,Whole Year,Gujarat,176200.0,902.5,17440276.0,42288.0,71.59666667,75,38,28,7.8,27.32,891.79,48.96
Banana,2004,Whole Year,Gujarat,32200.0,719.8,3488548.0,6762.0,59.4,75,38,28,7.8,27.7,763.53,47.63
Onion,2004,Whole Year,Gujarat,44000.0,719.8,4766960.0,9240.0,28.47894737,75,38,28,7.8,27.7,763.53,47.63
Potato,2004,Whole Year,Gujarat,39300.0,719.8,4257762.0,8253.0,26.09666667,75,38,28,7.8,27.7,763.53,47.63
Sugarcane,2004,Whole Year,Gujarat,196600.0,719.8,21299644.0,41286.0,71.64636364,75,38,28,7.8,27.7,763.53,47.63
Banana,2005,Whole Year,Gujarat,30700.0,942.4,3681544.0,6447.0,66.87090909,75,38,28,7.8,26.81,962.01,49.27
Garlic,2005,Whole Year,Gujarat,36100.0,942.4,4329112.0,7581.0,6.748125,75,38,28,7.8,26.81,962.01,49.27
Onion,2005,Whole Year,Gujarat,73300.0,942.4,8790136.0,15393.0,29.175,75,38,28,7.8,26.81,962.01,49.27
Potato,2005,Whole Year,Gujarat,44600.0,942.4,5348432.0,9366.0,26.46181818,75,38,28,7.8,26.81,962.01,49.27
Sugarcane,2005,Whole Year,Gujarat,213200.0,942.4,25566944.0,44772.0,75.31714286,75,38,28,7.8,26.81,962.01,49.27
Banana,2006,Whole Year,Gujarat,26600.0,1056.2,3397086.0,5852.0,57.65846154,75,38,28,7.8,27.3,986.67,52.6
Garlic,2006,Whole Year,Gujarat,32000.0,1056.2,4086720.0,7040.0,5.95,75,38,28,7.8,27.3,986.67,52.6
Onion,2006,Whole Year,Gujarat,43300.0,1056.2,5529843.0,9526.0,21.8045,75,38,28,7.8,27.3,986.67,52.6
Potato,2006,Whole Year,Gujarat,51700.0,1056.2,6602607.0,11374.0,20.45727273,75,38,28,7.8,27.3,986.67,52.6
Sugarcane,2006,Whole Year,Gujarat,216100.0,1056.2,27598131.0,47542.0,71.79642857,75,38,28,7.8,27.3,986.67,52.6
Banana,2007,Whole Year,Gujarat,31200.0,1021.6,4162080.0,4992.0,57.96166667,75,38,28,7.8,27.27,1033.53,52.63
Garlic,2007,Whole Year,Gujarat,44600.0,1021.6,5949640.0,7136.0,5.839411765,75,38,28,7.8,27.27,1033.53,52.63
Onion,2007,Whole Year,Gujarat,65400.0,1021.6,8724360.0,10464.0,28.88190476,75,38,28,7.8,27.27,1033.53,52.63
Potato,2007,Whole Year,Gujarat,72300.0,1021.6,9644820.0,11568.0,24.42333333,75,38,28,7.8,27.27,1033.53,52.63
Sugarcane,2007,Whole Year,Gujarat,211000.0,1021.6,28147400.0,33760.0,71.189375,75,38,28,7.8,27.27,1033.53,52.63
Banana,2008,Whole Year,Gujarat,28200.0,746.1,4033728.0,2538.0,72.95916667,75,38,28,7.8,27.35,620.73,47.0
Garlic,2008,Whole Year,Gujarat,33900.0,746.1,4849056.0,3051.0,5.214,75,38,28,7.8,27.35,620.73,47.0
Onion,2008,Rabi,Gujarat,54400.0,746.1,7781376.0,4896.0,26.605,75,38,28,7.8,27.35,620.73,47.0
Potato,2008,Whole Year,Gujarat,55800.0,746.1,7981632.0,5022.0,20.86636364,75,38,28,7.8,27.35,620.73,47.0
Sugarcane,2008,Whole Year,Gujarat,221300.0,746.1,31654752.0,19917.0,70.62176471,75,38,28,7.8,27.35,620.73,47.0
Banana,2009,Whole Year,Gujarat,22100.0,618.0,3443622.0,3757.0,65.11,75,38,28,7.8,28.45,580.29,44.88
Garlic,2009,Whole Year,Gujarat,15300.0,618.0,2384046.0,2601.0,5.490833333,75,38,28,7.8,28.45,580.29,44.88
Onion,2009,Rabi,Gujarat,38500.0,618.0,5999070.0,6545.0,26.69277778,75,38,28,7.8,28.45,580.29,44.88
Potato,2009,Whole Year,Gujarat,47300.0,618.0,7370286.0,8041.0,18.8975,75,38,28,7.8,28.45,580.29,44.88
Sugarcane,2009,Whole Year,Gujarat,190300.0,618.0,29652546.0,32351.0,66.79470588,75,38,28,7.8,28.45,580.29,44.88
Banana,2010,Whole Year,Gujarat,23500.0,1107.5,3903585.0,5640.0,70.365,75,38,28,7.8,27.65,1150.46,54.22
Garlic,2010,Whole Year,Gujarat,28900.0,1107.5,4800579.0,6936.0,5.24125,75,38,28,7.8,27.65,1150.46,54.22
Onion,2010,Whole Year,Gujarat,67100.0,1107.5,11145981.0,16104.0,26.0365,75,38,28,7.8,27.65,1150.46,54.22
Potato,2010,Whole Year,Gujarat,55100.0,1107.5,9152661.0,13224.0,21.58,75,38,28,7.8,27.65,1150.46,54.22
Sugarcane,2010,Whole Year,Gujarat,190100.0,1107.5,31577511.0,45624.0,69.7375,75,38,28,7.8,27.65,1150.46,54.22
Banana,2011,Whole Year,Gujarat,28600.0,890.5,4791072.0,9438.0,63.306,75,38,28,7.8,27.33,721.98,50.81
Garlic,2011,Whole Year,Gujarat,41800.0,890.5,7002336.0,13794.0,5.1405,75,38,28,7.8,27.33,721.98,50.81
Onion,2011,Rabi,Gujarat,63600.0,890.5,10654272.0,20988.0,24.66956522,75,38,28,7.8,27.33,721.98,50.81
Onion,2011,Summer,Gujarat,9200.0,890.5,1541184.0,3036.0,26.965,75,38,28,7.8,27.33,721.98,50.81
Potato,2011,Whole Year,Gujarat,77800.0,890.5,13033056.0,25674.0,21.34230769,75,38,28,7.8,27.33,721.98,50.81
Sugarcane,2011,Whole Year,Gujarat,201900.0,890.5,33822288.0,66627.0,58.77166667,75,38,28,7.8,27.33,721.98,50.81
Banana,2012,Whole Year,Gujarat,28100.0,460.6,4237480.0,8711.0,62.463,75,38,28,7.8,27.41,545.72,45.45
Onion,2012,Rabi,Gujarat,14500.0,460.6,2186600.0,4495.0,23.321,75,38,28,7.8,27.41,545.72,45.45
Onion,2012,Summer,Gujarat,2200.0,460.6,331760.0,682.0,22.094,75,38,28,7.8,27.41,545.72,45.45
Potato,2012,Whole Year,Gujarat,71500.0,460.6,10782200.0,22165.0,22.71333333,75,38,28,7.8,27.41,545.72,45.45
Sesamum,2012,Summer,Gujarat,3600.0,460.6,542880.0,1116.0,69.36666667,75,38,28,7.8,27.41,545.72,45.45
Sugarcane,2012,Whole Year,Gujarat,176600.0,460.6,26631280.0,54746.0,6.957272727,75,38,28,7.8,27.41,545.72,45.45
Banana,2013,Whole Year,Gujarat,26721.0,1006.5,3860917.29,7214.67,71.54363636,75,38,28,7.8,26.68,998.76,53.43
Garlic,2013,Whole Year,Gujarat,38087.0,1006.5,5503190.63,10283.49,6.124285714,75,38,28,7.8,26.68,998.76,53.43
Onion,2013,Rabi,Gujarat,68688.0,1006.5,9924729.12,18545.76,30.73391304,75,38,28,7.8,26.68,998.76,53.43
Onion,2013,Summer,Gujarat,11011.0,1006.5,1590979.39,2972.97,27.96125,75,38,28,7.8,26.68,998.76,53.43
Potato,2013,Whole Year,Gujarat,79304.0,1006.5,11458634.96,21412.08,26.01307692,75,38,28,7.8,26.68,998.76,53.43
Sugarcane,2013,Whole Year,Gujarat,173065.0,1006.5,25006161.85,46727.55,60.88571429,75,38,28,7.8,26.68,998.76,53.43
Banana,2014,Whole Year,Gujarat,26989.0,605.6,4074259.44,8906.37,67.33181818,75,38,28,7.8,27.49,775.44,48.89
Garlic,2014,Whole Year,Gujarat,7844.0,605.6,1184130.24,2588.52,5.896,75,38,28,7.8,27.49,775.44,48.89
Onion,2014,Rabi,Gujarat,38809.0,605.6,5858606.64,12806.97,28.18724138,75,38,28,7.8,27.49,775.44,48.89
Onion,2014,Summer,Gujarat,8185.0,605.6,1235607.6,2701.05,26.506,75,38,28,7.8,27.49,775.44,48.89
Potato,2014,Whole Year,Gujarat,101663.0,605.6,15347046.48,33548.79,25.4975,75,38,28,7.8,27.49,775.44,48.89
Sugarcane,2014,Whole Year,Gujarat,208553.0,605.6,31483160.88,68822.49,69.400625,75,38,28,7.8,27.49,775.44,48.89
Banana,2015,Whole Year,Gujarat,24439.0,584.3,3859162.49,8064.87,72.35545455,75,38,28,7.8,28.0,657.92,45.93
Garlic,2015,Whole Year,Gujarat,7594.0,584.3,1199168.54,2506.02,5.516666667,75,38,28,7.8,28.0,657.92,45.93
Onion,2015,Rabi,Gujarat,52885.0,584.3,8351070.35,17452.05,26.94153846,75,38,28,7.8,28.0,657.92,45.93
Onion,2015,Summer,Gujarat,10091.0,584.3,1593469.81,3330.03,26.179,75,38,28,7.8,28.0,657.92,45.93
Potato,2015,Whole Year,Gujarat,109188.0,584.3,17241877.08,36032.04,24.20928571,75,38,28,7.8,28.0,657.92,45.93
Sugarcane,2015,Whole Year,Gujarat,157130.0,584.3,24812398.3,51852.9,68.724375,75,38,28,7.8,28.0,657.92,45.93
Banana,2016,Whole Year,Gujarat,28500.0,710.5,4367625.0,9975.0,82.90272727,75,38,28,7.8,28.08,551.92,45.4
Onion,2016,Rabi,Gujarat,42408.0,710.5,6499026.0,14842.8,26.38703704,75,38,28,7.8,28.08,551.92,45.4
Onion,2016,Summer,Gujarat,13489.0,710.5,2067189.25,4721.15,26.55533333,75,38,28,7.8,28.08,551.92,45.4
Potato,2016,Whole Year,Gujarat,134306.0,710.5,20582394.5,47007.1,24.92625,75,38,28,7.8,28.08,551.92,45.4
Sugarcane,2016,Whole Year,Gujarat,157987.0,710.5,24211507.75,55295.45,64.44533333,75,38,28,7.8,28.08,551.92,45.4
Banana,2017,Whole Year,Gujarat,29630.0,814.8,4664947.2,11259.4,71.83,75,38,28,7.8,27.49,860.9,48.49
Garlic,2017,Whole Year,Gujarat,19408.0,814.8,3055595.52,7375.04,6.755652174,75,38,28,7.8,27.49,860.9,48.49
Onion,2017,Rabi,Gujarat,42668.0,814.8,6717649.92,16213.84,28.7637931,75,38,28,7.8,27.49,860.9,48.49
Onion,2017,Summer,Gujarat,11801.0,814.8,1857949.44,4484.38,25.194,75,38,28,7.8,27.49,860.9,48.49
Potato,2017,Whole Year,Gujarat,130397.0,814.8,20529703.68,49550.86,27.283125,75,38,28,7.8,27.49,860.9,48.49
Sugarcane,2017,Whole Year,Gujarat,181699.0,814.8,28606690.56,69045.62,61.96529412,75,38,28,7.8,27.49,860.9,48.49
Banana,2018,Whole Year,Gujarat,36405.0,1125.4,5904891.0,12741.75,77.81625,75,38,28,7.8,28.36,477.09,41.54
Garlic,2018,Whole Year,Gujarat,9870.0,1125.4,1600914.0,3454.5,6.822857143,75,38,28,7.8,28.36,477.09,41.54
Onion,2018,Rabi,Gujarat,23847.0,1125.4,3867983.4,8346.45,27.7052,75,38,28,7.8,28.36,477.09,41.54
Onion,2018,Summer,Gujarat,1854.0,1125.4,300718.8,648.9,27.54,75,38,28,7.8,28.36,477.09,41.54
Potato,2018,Whole Year,Gujarat,121449.0,1125.4,19699027.8,42507.15,28.84285714,75,38,28,7.8,28.36,477.09,41.54
Sugarcane,2018,Whole Year,Gujarat,161039.0,1125.4,26120525.8,56363.65,66.59133333,75,38,28,7.8,28.36,477.09,41.54
Banana,2019,Whole Year,Gujarat,30226.0,1067.8,5191617.76,11183.62,73.76285714,75,38,28,7.8,27.13,977.56,55.15
Garlic,2019,Whole Year,Gujarat,11313.0,1067.8,1943120.88,4185.81,7.213181818,75,38,28,7.8,27.13,977.56,55.15
Onion,2019,Rabi,Gujarat,41408.0,1067.8,7112238.08,15320.96,28.8925,75,38,28,7.8,27.13,977.56,55.15
Onion,2019,Summer,Gujarat,7176.0,1067.8,1232549.76,2655.12,28.464,75,38,28,7.8,27.13,977.56,55.15
Potato,2019,Whole Year,Gujarat,118353.0,1067.8,20328311.28,43790.61,29.24857143,75,38,28,7.8,27.13,977.56,55.15
Sugarcane,2019,Whole Year,Gujarat,160940.0,1067.8,27643054.4,59547.8,70.57,75,38,28,7.8,27.13,977.56,55.15
Sugarcane,1997,Whole Year,Haryana,141000.0,661.2,13418970.0,43710.0,50.3125,130,48,35,7.9,23.39,942.38,46.2
Onion,1998,Whole Year,Haryana,4707.0,687.6,465051.6,1365.03,13.94882353,130,48,35,7.9,24.04,986.16,46.65
Potato,1998,Whole Year,Haryana,13467.0,687.6,1330539.6,3905.43,14.64631579,130,48,35,7.9,24.04,986.16,46.65
Sugarcane,1998,Whole Year,Haryana,128074.0,687.6,12653711.2,37141.46,51.58421053,130,48,35,7.9,24.04,986.16,46.65
Sweet Potato,1998,Whole Year,Haryana,88.0,687.6,8694.4,25.52,14.696,130,48,35,7.9,24.04,986.16,46.65
Onion,1999,Whole Year,Haryana,2669.0,344.0,283260.97,720.63,12.858,130,48,35,7.9,25.49,537.97,34.47
Potato,1999,Whole Year,Haryana,12659.0,344.0,1343499.67,3417.93,21.46470588,130,48,35,7.9,25.49,537.97,34.47
Sugarcane,1999,Whole Year,Haryana,136696.0,344.0,14507546.48,36907.92,44.50210526,130,48,35,7.9,25.49,537.97,34.47
Garlic,2000,Whole Year,Haryana,286.0,383.7,28076.62,74.36,5.085555556,130,48,35,7.9,24.65,829.38,38.13
Onion,2000,Whole Year,Haryana,3419.0,383.7,335643.23,888.94,14.924,130,48,35,7.9,24.65,829.38,38.13
Potato,2000,Whole Year,Haryana,9273.0,383.7,910330.41,2410.98,15.6075,130,48,35,7.9,24.65,829.38,38.13
Sugarcane,2000,Whole Year,Haryana,143030.0,383.7,14041255.1,37187.8,49.43,130,48,35,7.9,24.65,829.38,38.13
Sweet Potato,2000,Whole Year,Haryana,120.0,383.7,11780.4,31.2,19.48,130,48,35,7.9,24.65,829.38,38.13
Garlic,2001,Whole Year,Haryana,349.0,483.8,35643.37,90.74,5.467142857,130,48,35,7.9,24.52,886.36,40.39
Onion,2001,Whole Year,Haryana,3554.0,483.8,362970.02,924.04,13.56916667,130,48,35,7.9,24.52,886.36,40.39
Potato,2001,Whole Year,Haryana,9616.0,483.8,982082.08,2500.16,19.08055556,130,48,35,7.9,24.52,886.36,40.39
Sugarcane,2001,Whole Year,Haryana,161184.0,483.8,16461721.92,41907.84,47.62210526,130,48,35,7.9,24.52,886.36,40.39
Onion,2002,Whole Year,Haryana,1609.0,353.9,152324.03,402.25,19.29692308,130,48,35,7.9,25.39,688.83,37.91
Potato,2002,Whole Year,Haryana,10328.0,353.9,977751.76,2582.0,33.775,130,48,35,7.9,25.39,688.83,37.91
Sugarcane,2002,Whole Year,Haryana,189010.0,353.9,17893576.7,47252.5,48.52888889,130,48,35,7.9,25.39,688.83,37.91
Sweet Potato,2002,Whole Year,Haryana,47.0,353.9,4449.49,11.75,13.98166667,130,48,35,7.9,25.39,688.83,37.91
Onion,2003,Whole Year,Haryana,3319.0,592.3,328514.62,796.56,21.084,130,48,35,7.9,24.13,1037.84,46.02
Potato,2003,Whole Year,Haryana,10521.0,592.3,1041368.58,2525.04,22.60571429,130,48,35,7.9,24.13,1037.84,46.02
Sugarcane,2003,Whole Year,Haryana,160257.0,592.3,15862237.86,38461.68,50.10277778,130,48,35,7.9,24.13,1037.84,46.02
Sweet Potato,2003,Whole Year,Haryana,77.0,592.3,7621.46,18.48,16.482,130,48,35,7.9,24.13,1037.84,46.02
Dry Chillies,2004,Whole Year,Haryana,1280.0,484.6,138675.2,268.8,6.323333333,130,48,35,7.9,24.66,920.16,43.86
Garlic,2004,Whole Year,Haryana,357.0,484.6,38677.38,74.97,6.101428571,130,48,35,7.9,24.66,920.16,43.86
Onion,2004,Whole Year,Haryana,2823.0,484.6,305843.82,592.83,20.795,130,48,35,7.9,24.66,920.16,43.86
Potato,2004,Whole Year,Haryana,10832.0,484.6,1173538.88,2274.72,23.1075,130,48,35,7.9,24.66,920.16,43.86
Sugarcane,2004,Whole Year,Haryana,133042.0,484.6,14413770.28,27938.82,49.24888889,130,48,35,7.9,24.66,920.16,43.86
Sweet Potato,2004,Whole Year,Haryana,75.0,484.6,8125.5,15.75,18.602,130,48,35,7.9,24.66,920.16,43.86
Onion,2005,Whole Year,Haryana,4044.0,516.9,484956.48,849.24,18.03076923,130,48,35,7.9,24.2,879.45,45.01
Potato,2005,Whole Year,Haryana,12597.0,516.9,1510632.24,2645.37,21.80066667,130,48,35,7.9,24.2,879.45,45.01
Sugarcane,2005,Whole Year,Haryana,129223.0,516.9,15496422.16,27136.83,49.81526316,130,48,35,7.9,24.2,879.45,45.01
Sweet Potato,2005,Whole Year,Haryana,127.0,516.9,15229.84,26.67,15.14333333,130,48,35,7.9,24.2,879.45,45.01
Garlic,2006,Whole Year,Haryana,415.0,329.3,52999.65,91.3,8.9425,130,48,35,7.9,24.94,761.23,44.55
Onion,2006,Whole Year,Haryana,2543.0,329.3,324766.53,559.46,18.98352941,130,48,35,7.9,24.94,761.23,44.55
Potato,2006,Whole Year,Haryana,12826.0,329.3,1638008.46,2821.72,21.90714286,130,48,35,7.9,24.94,761.23,44.55
Sugarcane,2006,Whole Year,Haryana,140563.0,329.3,17951300.73,30923.86,56.0355,130,48,35,7.9,24.94,761.23,44.55
Sweet Potato,2006,Whole Year,Haryana,19.0,329.3,2426.49,4.18,12.6975,130,48,35,7.9,24.94,761.23,44.55
Dry Chillies,2007,Whole Year,Haryana,1321.0,443.8,176221.4,211.36,8.716428571,130,48,35,7.9,24.61,893.56,44.46
Garlic,2007,Whole Year,Haryana,586.0,443.8,78172.4,93.76,5.104,130,48,35,7.9,24.61,893.56,44.46
Onion,2007,Whole Year,Haryana,3193.0,443.8,425946.2,510.88,18.20733333,130,48,35,7.9,24.61,893.56,44.46
Potato,2007,Whole Year,Haryana,9917.0,443.8,1322927.8,1586.72,15.53166667,130,48,35,7.9,24.61,893.56,44.46
Sugarcane,2007,Whole Year,Haryana,140365.0,443.8,18724691.0,22458.4,50.77,130,48,35,7.9,24.61,893.56,44.46
Sweet Potato,2007,Whole Year,Haryana,65.0,443.8,8671.0,10.4,12.7775,130,48,35,7.9,24.61,893.56,44.46
Dry Chillies,2008,Whole Year,Haryana,1613.0,715.6,230723.52,145.17,7.445625,130,48,35,7.9,23.49,1417.62,51.64
Onion,2008,Whole Year,Haryana,2492.0,715.6,356455.68,224.28,178.6530769,130,48,35,7.9,23.49,1417.62,51.64
Potato,2008,Whole Year,Haryana,11938.0,715.6,1707611.52,1074.42,19.08769231,130,48,35,7.9,23.49,1417.62,51.64
Sugarcane,2008,Whole Year,Haryana,90941.0,715.6,13008200.64,8184.69,49.621,130,48,35,7.9,23.49,1417.62,51.64
Sweet Potato,2008,Whole Year,Haryana,83.0,715.6,11872.32,7.47,12.0625,130,48,35,7.9,23.49,1417.62,51.64
Turmeric,2008,Whole Year,Haryana,51.0,715.6,7295.04,4.59,5.2725,130,48,35,7.9,23.49,1417.62,51.64
