crop_type,rainfall_mm,avg_temp_c,yield_kg_ha
rice,748.0,28.06,1883.1
maize,748.0,28.58,1372.2
rice,748.0,28.58,2163.0
maize,748.0,28.0,1604.2
rice,748.0,28.0,1958.2
maize,748.0,28.46,1144.1
rice,748.0,28.46,1924.9
maize,748.0,28.74,1552.1
rice,748.0,28.74,2388.3
maize,748.0,28.52,1518.5
rice,748.0,28.52,1575.0
maize,748.0,28.95,1391.9
rice,748.0,28.95,1938.8
maize,748.0,28.45,1624.1
rice,748.0,28.45,2482.4
maize,748.0,28.6,1754.3
rice,748.0,28.6,2567.5
maize,748.0,28.77,1811.5
rice,748.0,28.77,1879.5
maize,748.0,28.97,1738.1
rice,748.0,28.97,1901.0
maize,748.0,28.9,1266.6
rice,748.0,28.9,1504.7
maize,748.0,29.18,1805.8
rice,748.0,29.18,1779.1
maize,748.0,28.92,1944.4
rice,748.0,28.92,2572.4
maize,748.0,28.96,1173.6
rice,748.0,28.96,1700.2
maize,748.0,28.4,1666.2
rice,748.0,28.4,2435.5
maize,748.0,29.05,1528.6
rice,748.0,29.05,2315.4
maize,748.0,29.17,1434.2
rice,748.0,29.17,2023.8
maize,748.0,29.03,1535.6
rice,748.0,29.03,1767.6
maize,748.0,28.67,1838.6
rice,748.0,28.67,2333.6
maize,748.0,29.41,1735.3
rice,748.0,29.41,2199.3
maize,1274.0,21.15,1354.0
rice,1274.0,21.15,3333.3
wheat,1274.0,21.15,747.8
maize,1274.0,20.97,1388.7
rice,1274.0,20.97,3092.3
wheat,1274.0,20.97,733.3
maize,1274.0,21.31,1421.8
rice,1274.0,21.31,3107.7
wheat,1274.0,21.31,712.0
maize,1274.0,21.17,1434.2
rice,1274.0,21.17,3139.8
wheat,1274.0,21.17,774.8
maize,1274.0,21.25,1227.6
rice,1274.0,21.25,3109.9
wheat,1274.0,21.25,882.4
maize,1274.0,21.55,1275.2
rice,1274.0,21.55,2681.9
wheat,1274.0,21.55,744.0
maize,1274.0,21.18,1313.3
rice,1274.0,21.18,2787.3
wheat,1274.0,21.18,772.8
maize,1274.0,21.51,1260.8
rice,1274.0,21.51,3255.1
wheat,1274.0,21.51,774.2
maize,1274.0,21.56,1146.3
rice,1274.0,21.56,2992.7
wheat,1274.0,21.56,814.8
maize,1274.0,21.01,1119.2
rice,1274.0,21.01,3257.2
wheat,1274.0,21.01,708.5
maize,1274.0,21.32,1052.1
rice,1274.0,21.32,3039.9
wheat,1274.0,21.32,677.4
maize,1274.0,21.24,1081.7
rice,1274.0,21.24,3206.3
wheat,1274.0,21.24,866.7
maize,1274.0,21.45,1093.1
rice,1274.0,21.45,3262.9
wheat,1274.0,21.45,829.0
maize,1274.0,21.71,1080.7
rice,1274.0,21.71,3292.4
wheat,1274.0,21.71,832.6
maize,1274.0,22.29,1083.3
rice,1274.0,22.29,3414.4
wheat,1274.0,22.29,738.7
maize,1274.0,21.83,1015.9
rice,1274.0,21.83,3332.2
wheat,1274.0,21.83,800.7
maize,1274.0,21.28,1024.4
rice,1274.0,21.28,3376.7
wheat,1274.0,21.28,840.7
maize,1274.0,21.29,1004.1
rice,1274.0,21.29,3220.3
wheat,1274.0,21.29,843.1
maize,1274.0,21.42,1003.2
rice,1274.0,21.42,3268.0
wheat,1274.0,21.42,858.3
maize,1274.0,21.75,1051.1
rice,1274.0,21.75,2826.8
wheat,1274.0,21.75,739.3
maize,1274.0,21.23,1102.3
rice,1274.0,21.23,2687.6
wheat,1274.0,21.23,712.9
maize,1274.0,21.44,1176.3
rice,1274.0,21.44,2104.1
wheat,1274.0,21.44,444.8
maize,1274.0,21.53,1321.8
rice,1274.0,21.53,1913.0
wheat,1274.0,21.53,727.6
maize,1604.0,25.08,1854.3
rice,1604.0,25.08,4999.9
wheat,1604.0,25.08,1500.0
maize,1604.0,24.99,1980.0
rice,1604.0,24.99,3640.0
wheat,1604.0,24.99,1286.3
maize,1604.0,24.6,1397.4
rice,1604.0,24.6,3500.0
wheat,1604.0,24.6,1288.4
maize,1604.0,24.9,1126.7
rice,1604.0,24.9,2900.0
wheat,1604.0,24.9,1290.4
maize,1604.0,24.93,1164.4
rice,1604.0,24.93,3142.3
wheat,1604.0,24.93,1293.7
maize,1604.0,25.21,1545.0
rice,1604.0,25.21,3130.7
wheat,1604.0,25.21,1309.8
maize,1604.0,25.0,1875.0
rice,1604.0,25.0,3139.1
wheat,1604.0,25.0,1333.3
maize,1604.0,24.98,2026.7
rice,1604.0,24.98,3363.6
wheat,1604.0,24.98,1326.4
maize,1604.0,25.66,1891.1
rice,1604.0,25.66,3546.7
wheat,1604.0,25.66,1327.9
maize,1604.0,24.97,2590.7
rice,1604.0,24.97,3309.5
wheat,1604.0,24.97,1329.4
maize,1604.0,24.88,2461.5
rice,1604.0,24.88,3010.3
wheat,1604.0,24.88,1330.9
maize,1604.0,25.01,2440.4
rice,1604.0,25.01,3024.2
wheat,1604.0,25.01,1332.5
maize,1604.0,25.26,2067.9
rice,1604.0,25.26,1113.7
wheat,1604.0,25.26,1334.0
maize,1604.0,25.42,1916.6
rice,1604.0,25.42,1241.6
wheat,1604.0,25.42,1337.3
maize,1604.0,25.36,2133.4
rice,1604.0,25.36,1297.1
wheat,1604.0,25.36,1339.0
maize,1604.0,25.39,2222.4
rice,1604.0,25.39,1290.5
wheat,1604.0,25.39,1340.8
maize,1604.0,25.49,2000.0
rice,1604.0,25.49,1000.0
wheat,1604.0,25.49,1342.6
maize,1604.0,25.42,2000.0
rice,1604.0,25.42,1000.0
wheat,1604.0,25.42,1344.4
maize,1604.0,25.54,1978.7
rice,1604.0,25.54,2747.5
wheat,1604.0,25.54,1346.3
maize,1604.0,25.7,1974.1
rice,1604.0,25.7,1093.6
wheat,1604.0,25.7,1384.6
maize,1604.0,25.25,2024.0
rice,1604.0,25.25,1346.4
wheat,1604.0,25.25,1397.1
maize,1604.0,25.18,1715.2
rice,1604.0,25.18,1421.7
wheat,1604.0,25.18,1230.8
maize,1604.0,25.45,1978.7
rice,1604.0,25.45,1164.1
wheat,1604.0,25.45,1287.9
maize,537.0,8.2,6860.2
maize,537.0,9.48,6860.2
maize,537.0,6.07,6860.2
maize,537.0,5.57,6860.2
maize,537.0,7.41,6860.2
maize,537.0,7.82,6860.2
wheat,537.0,8.2,2276.9
wheat,537.0,9.48,2276.9
wheat,537.0,6.07,2276.9
wheat,537.0,5.57,2276.9
wheat,537.0,7.41,2276.9
wheat,537.0,7.82,2276.9
maize,537.0,8.13,6709.8
maize,537.0,9.72,6709.8
maize,537.0,5.82,6709.8
maize,537.0,5.46,6709.8
maize,537.0,7.55,6709.8
maize,537.0,7.89,6709.8
wheat,537.0,8.13,2255.9
wheat,537.0,9.72,2255.9
wheat,537.0,5.82,2255.9
wheat,537.0,5.46,2255.9
wheat,537.0,7.55,2255.9
wheat,537.0,7.89,2255.9
maize,537.0,6.25,5692.7
maize,537.0,8.05,5692.7
maize,537.0,4.41,5692.7
maize,537.0,3.69,5692.7
maize,537.0,5.79,5692.7
maize,537.0,8.77,5692.7
wheat,537.0,6.25,2160.3
wheat,537.0,8.05,2160.3
wheat,537.0,4.41,2160.3
wheat,537.0,3.69,2160.3
wheat,537.0,5.79,2160.3
wheat,537.0,8.77,2160.3
maize,537.0,6.48,6424.1
maize,537.0,8.11,6424.1
maize,537.0,4.52,6424.1
maize,537.0,3.96,6424.1
maize,537.0,5.87,6424.1
maize,537.0,7.69,6424.1
wheat,537.0,6.48,2202.7
wheat,537.0,8.11,2202.7
wheat,537.0,4.52,2202.7
wheat,537.0,3.96,2202.7
wheat,537.0,5.87,2202.7
wheat,537.0,7.69,2202.7
maize,537.0,6.52,7374.8
maize,537.0,8.11,7374.8
maize,537.0,4.72,7374.8
maize,537.0,4.06,7374.8
maize,537.0,5.95,7374.8
maize,537.0,8.27,7374.8
wheat,537.0,6.52,2127.5
wheat,537.0,8.11,2127.5
wheat,537.0,4.72,2127.5
wheat,537.0,4.06,2127.5
wheat,537.0,5.95,2127.5
wheat,537.0,8.27,2127.5
maize,537.0,7.19,7252.8
maize,537.0,8.52,7252.8
maize,537.0,5.47,7252.8
maize,537.0,4.81,7252.8
maize,537.0,6.38,7252.8
maize,537.0,8.49,7252.8
wheat,537.0,7.19,2246.7
wheat,537.0,8.52,2246.7
wheat,537.0,5.47,2246.7
wheat,537.0,4.81,2246.7
wheat,537.0,6.38,2246.7
wheat,537.0,8.49,2246.7
maize,537.0,6.88,6914.1
maize,537.0,7.85,6914.1
maize,537.0,5.25,6914.1
maize,537.0,4.66,6914.1
maize,537.0,5.81,6914.1
maize,537.0,7.16,6914.1
wheat,537.0,6.88,2430.4
wheat,537.0,7.85,2430.4
wheat,537.0,5.25,2430.4
wheat,537.0,4.66,2430.4
wheat,537.0,5.81,2430.4
wheat,537.0,7.16,2430.4
maize,537.0,6.72,6870.2
maize,537.0,8.09,6870.2
maize,537.0,4.54,6870.2
maize,537.0,3.99,6870.2
maize,537.0,6.0,6870.2
maize,537.0,8.23,6870.2
wheat,537.0,6.72,2128.5
wheat,537.0,8.09,2128.5
wheat,537.0,4.54,2128.5
wheat,537.0,3.99,2128.5
wheat,537.0,6.0,2128.5
wheat,537.0,8.23,2128.5
maize,537.0,9.01,8005.4
maize,537.0,10.6,8005.4
maize,537.0,7.0,8005.4
maize,537.0,6.68,8005.4
maize,537.0,8.54,8005.4
maize,537.0,8.72,8005.4
wheat,537.0,9.01,2255.0
wheat,537.0,10.6,2255.0
wheat,537.0,7.0,2255.0
wheat,537.0,6.68,2255.0
wheat,537.0,8.54,2255.0
wheat,537.0,8.72,2255.0
maize,537.0,8.29,7974.7
maize,537.0,9.53,7974.7
maize,537.0,6.71,7974.7
maize,537.0,6.02,7974.7
maize,537.0,7.75,7974.7
maize,537.0,7.69,7974.7
wheat,537.0,8.29,2597.1
wheat,537.0,9.53,2597.1
wheat,537.0,6.71,2597.1
wheat,537.0,6.02,2597.1
wheat,537.0,7.75,2597.1
wheat,537.0,7.69,2597.1
maize,537.0,6.93,6284.4
maize,537.0,8.67,6284.4
maize,537.0,5.14,6284.4
maize,537.0,4.61,6284.4
maize,537.0,6.67,6284.4
maize,537.0,7.63,6284.4
wheat,537.0,6.93,2444.6
wheat,537.0,8.67,2444.6
wheat,537.0,5.14,2444.6
wheat,537.0,4.61,2444.6
wheat,537.0,6.67,2444.6
wheat,537.0,7.63,2444.6
maize,537.0,8.47,6618.7
maize,537.0,9.63,6618.7
maize,537.0,6.46,6618.7
maize,537.0,6.01,6618.7
maize,537.0,7.76,6618.7
maize,537.0,7.77,6618.7
wheat,537.0,8.47,1945.2
wheat,537.0,9.63,1945.2
wheat,537.0,6.46,1945.2
wheat,537.0,6.01,1945.2
wheat,537.0,7.76,1945.2
wheat,537.0,7.77,1945.2
maize,537.0,8.18,7012.8
maize,537.0,9.45,7012.8
maize,537.0,6.01,7012.8
maize,537.0,5.47,7012.8
maize,537.0,7.48,7012.8
maize,537.0,7.82,7012.8
wheat,537.0,8.18,1832.4
wheat,537.0,9.45,1832.4
wheat,537.0,6.01,1832.4
wheat,537.0,5.47,1832.4
wheat,537.0,7.48,1832.4
wheat,537.0,7.82,1832.4
maize,537.0,7.02,8241.0
maize,537.0,8.63,8241.0
maize,537.0,4.91,8241.0
maize,537.0,4.46,8241.0
maize,537.0,6.4,8241.0
maize,537.0,8.95,8241.0
wheat,537.0,7.02,2640.9
wheat,537.0,8.63,2640.9
wheat,537.0,4.91,2640.9
wheat,537.0,4.46,2640.9
wheat,537.0,6.4,2640.9
wheat,537.0,8.95,2640.9
maize,537.0,7.89,8603.5
maize,537.0,9.05,8603.5
maize,537.0,5.95,8603.5
maize,537.0,5.53,8603.5
maize,537.0,7.22,8603.5
maize,537.0,8.38,8603.5
wheat,537.0,7.89,2738.1
wheat,537.0,9.05,2738.1
wheat,537.0,5.95,2738.1
wheat,537.0,5.53,2738.1
wheat,537.0,7.22,2738.1
wheat,537.0,8.38,2738.1
maize,537.0,8.66,8473.7
maize,537.0,9.83,8473.7
maize,537.0,6.95,8473.7
maize,537.0,6.3,8473.7
maize,537.0,7.85,8473.7
maize,537.0,8.31,8473.7
wheat,537.0,8.66,2609.6
wheat,537.0,9.83,2609.6
wheat,537.0,6.95,2609.6
wheat,537.0,6.3,2609.6
wheat,537.0,7.85,2609.6
wheat,537.0,8.31,2609.6
maize,537.0,7.42,8510.8
maize,537.0,9.14,8510.8
maize,537.0,5.25,8510.8
maize,537.0,4.96,8510.8
maize,537.0,7.07,8510.8
maize,537.0,7.72,8510.8
wheat,537.0,7.42,2331.7
wheat,537.0,9.14,2331.7
wheat,537.0,5.25,2331.7
wheat,537.0,4.96,2331.7
wheat,537.0,7.07,2331.7
wheat,537.0,7.72,2331.7
maize,537.0,7.5,9062.3
maize,537.0,8.61,9062.3
maize,537.0,5.62,9062.3
maize,537.0,5.01,9062.3
maize,537.0,6.58,9062.3
maize,537.0,7.3,9062.3
wheat,537.0,7.5,2857.5
wheat,537.0,8.61,2857.5
wheat,537.0,5.62,2857.5
wheat,537.0,5.01,2857.5
wheat,537.0,6.58,2857.5
wheat,537.0,7.3,2857.5
maize,537.0,7.12,8372.3
maize,537.0,8.38,8372.3
maize,537.0,5.27,8372.3
maize,537.0,4.71,8372.3
maize,537.0,6.28,8372.3
maize,537.0,7.8,8372.3
wheat,537.0,7.12,2789.7
wheat,537.0,8.38,2789.7
wheat,537.0,5.27,2789.7
wheat,537.0,4.71,2789.7
wheat,537.0,6.28,2789.7
wheat,537.0,7.8,2789.7
maize,537.0,8.64,9738.5
maize,537.0,9.47,9738.5
maize,537.0,7.11,9738.5
maize,537.0,6.73,9738.5
maize,537.0,7.77,9738.5
maize,537.0,8.33,9738.5
wheat,537.0,8.64,2808.5
wheat,537.0,9.47,2808.5
wheat,537.0,7.11,2808.5
wheat,537.0,6.73,2808.5
wheat,537.0,7.77,2808.5
wheat,537.0,8.33,2808.5
maize,537.0,8.34,8894.6
maize,537.0,9.32,8894.6
maize,537.0,6.52,8894.6
maize,537.0,6.14,8894.6
maize,537.0,7.3,8894.6
maize,537.0,7.21,8894.6
wheat,537.0,8.34,2956.8
wheat,537.0,9.32,2956.8
wheat,537.0,6.52,2956.8
wheat,537.0,6.14,2956.8
wheat,537.0,7.3,2956.8
wheat,537.0,7.21,2956.8
maize,537.0,9.24,9210.9
maize,537.0,10.51,9210.9
maize,537.0,7.09,9210.9
maize,537.0,6.59,9210.9
maize,537.0,8.66,9210.9
maize,537.0,7.85,9210.9
wheat,537.0,9.24,2864.5
wheat,537.0,10.51,2864.5
wheat,537.0,7.09,2864.5
wheat,537.0,6.59,2864.5
wheat,537.0,8.66,2864.5
wheat,537.0,7.85,2864.5
maize,537.0,9.19,9587.8
maize,537.0,10.11,9587.8
maize,537.0,7.86,9587.8
maize,537.0,7.08,9587.8
maize,537.0,8.46,9587.8
maize,537.0,9.85,9587.8
wheat,537.0,9.19,3594.3
wheat,537.0,10.11,3594.3
wheat,537.0,7.86,3594.3
wheat,537.0,7.08,3594.3
wheat,537.0,8.46,3594.3
wheat,537.0,9.85,3594.3
maize,1342.0,25.42,732.4
rice,1342.0,25.42,1672.9
maize,1342.0,25.45,814.9
rice,1342.0,25.45,1337.5
maize,1342.0,24.81,903.8
rice,1342.0,24.81,1451.6
maize,1342.0,25.14,903.8
rice,1342.0,25.14,1451.4
maize,1342.0,25.39,850.0
rice,1342.0,25.39,1320.1
maize,1342.0,25.5,850.0
rice,1342.0,25.5,1521.4
maize,1342.0,25.32,850.0
rice,1342.0,25.32,1320.0
maize,1342.0,25.69,917.8
rice,1342.0,25.69,1416.7
maize,1342.0,25.96,979.9
rice,1342.0,25.96,1423.1
maize,1342.0,25.05,1055.6
rice,1342.0,25.05,1500.0
maize,1342.0,25.4,1060.0
rice,1342.0,25.4,1490.3
maize,1342.0,25.28,1070.0
rice,1342.0,25.28,1488.2
maize,1342.0,25.44,982.6
rice,1342.0,25.44,1489.1
maize,1342.0,25.67,961.5
rice,1342.0,25.67,1993.8
maize,1342.0,25.92,903.4
rice,1342.0,25.92,2008.7
maize,1342.0,25.85,901.0
rice,1342.0,25.85,1600.0
maize,1342.0,25.88,850.0
rice,1342.0,25.88,1500.0
maize,1342.0,25.76,850.0
rice,1342.0,25.76,1500.0
maize,1342.0,26.17,850.0
rice,1342.0,26.17,1500.0
maize,1342.0,26.06,1614.8
rice,1342.0,26.06,2335.3
maize,1342.0,25.23,1680.4
rice,1342.0,25.23,1600.0
maize,1342.0,25.28,1750.5
rice,1342.0,25.28,3000.0
maize,1342.0,25.69,1244.6
rice,1342.0,25.69,1866.5
maize,1522.0,12.88,8139.5
maize,1522.0,6.11,8139.5
rice,1522.0,12.88,4173.4
rice,1522.0,6.11,4173.4
wheat,1522.0,12.88,2948.1
wheat,1522.0,6.11,2948.1
maize,1522.0,13.0,8391.6
maize,1522.0,6.37,8391.6
rice,1522.0,13.0,3936.6
rice,1522.0,6.37,3936.6
wheat,1522.0,13.0,3405.7
wheat,1522.0,6.37,3405.7
maize,1522.0,12.93,8488.4
maize,1522.0,5.97,8488.4
rice,1522.0,12.93,4204.4
rice,1522.0,5.97,4204.4
wheat,1522.0,12.93,3378.7
wheat,1522.0,5.97,3378.7
maize,1522.0,13.26,8489.0
maize,1522.0,6.16,8489.0
rice,1522.0,13.26,4492.1
rice,1522.0,6.16,4492.1
wheat,1522.0,13.26,3350.0
wheat,1522.0,6.16,3350.0
maize,1522.0,13.42,8938.1
maize,1522.0,6.7,8938.1
rice,1522.0,13.42,4383.4
rice,1522.0,6.7,4383.4
wheat,1522.0,13.42,3515.7
wheat,1522.0,6.7,3515.7
maize,1522.0,13.02,9100.0
maize,1522.0,6.4,9100.0
rice,1522.0,13.02,4300.0
rice,1522.0,6.4,4300.0
wheat,1522.0,13.02,3550.0
wheat,1522.0,6.4,3550.0
maize,1522.0,13.16,9445.3
maize,1522.0,6.26,9445.3
rice,1522.0,13.16,4770.4
rice,1522.0,6.26,4770.4
wheat,1522.0,13.16,3327.8
wheat,1522.0,6.26,3327.8
maize,1522.0,13.66,8241.7
maize,1522.0,6.8,8241.7
rice,1522.0,13.66,3633.6
rice,1522.0,6.8,3633.6
wheat,1522.0,13.66,4017.4
wheat,1522.0,6.8,4017.4
maize,1522.0,13.19,9400.6
maize,1522.0,6.28,9400.6
rice,1522.0,13.19,3908.9
rice,1522.0,6.28,3908.9
wheat,1522.0,13.19,4384.6
wheat,1522.0,6.28,4384.6
maize,1522.0,13.24,8515.3
maize,1522.0,5.93,8515.3
rice,1522.0,13.24,4150.8
rice,1522.0,5.93,4150.8
wheat,1522.0,13.24,3534.2
wheat,1522.0,5.93,3534.2
maize,1522.0,12.99,9412.0
maize,1522.0,5.95,9412.0
rice,1522.0,12.99,5241.4
rice,1522.0,5.95,5241.4
wheat,1522.0,12.99,3812.0
wheat,1522.0,5.95,3812.0
maize,1522.0,13.16,9430.6
maize,1522.0,6.41,9430.6
rice,1522.0,13.16,5017.9
rice,1522.0,6.41,5017.9
wheat,1522.0,13.16,4299.9
wheat,1522.0,6.41,4299.9
maize,1522.0,12.95,10590.2
maize,1522.0,6.25,10590.2
rice,1522.0,12.95,5072.4
rice,1522.0,6.25,5072.4
wheat,1522.0,12.95,4272.2
wheat,1522.0,6.25,4272.2
maize,1522.0,13.44,11067.8
maize,1522.0,6.32,11067.8
rice,1522.0,13.44,4789.8
rice,1522.0,6.32,4789.8
wheat,1522.0,13.44,4571.0
wheat,1522.0,6.32,4571.0
maize,1522.0,13.06,11228.5
maize,1522.0,6.22,11228.5
rice,1522.0,13.06,4667.7
rice,1522.0,6.22,4667.7
wheat,1522.0,13.06,4413.0
wheat,1522.0,6.22,4413.0
maize,1522.0,13.19,11184.0
maize,1522.0,6.84,11184.0
rice,1522.0,13.19,5729.6
rice,1522.0,6.84,5729.6
wheat,1522.0,13.19,4460.1
wheat,1522.0,6.84,4460.1
maize,1522.0,12.31,8930.2
maize,1522.0,5.51,8930.2
rice,1522.0,12.31,5066.3
rice,1522.0,5.51,5066.3
wheat,1522.0,12.31,4785.9
wheat,1522.0,5.51,4785.9
maize,1522.0,13.69,10141.1
maize,1522.0,6.57,10141.1
rice,1522.0,13.69,5792.0
rice,1522.0,6.57,5792.0
wheat,1522.0,13.69,4574.8
wheat,1522.0,6.57,4574.8
maize,1522.0,13.04,10495.6
maize,1522.0,6.7,10495.6
rice,1522.0,13.04,5376.3
rice,1522.0,6.7,5376.3
wheat,1522.0,13.04,4080.9
wheat,1522.0,6.7,4080.9
maize,1522.0,12.69,11080.8
maize,1522.0,6.13,11080.8
rice,1522.0,12.69,3859.9
rice,1522.0,6.13,3859.9
wheat,1522.0,12.69,5765.8
wheat,1522.0,6.13,5765.8
maize,1522.0,13.25,11997.8
maize,1522.0,6.27,11997.8
rice,1522.0,13.25,5189.9
rice,1522.0,6.27,5189.9
wheat,1522.0,13.25,5806.0
wheat,1522.0,6.27,5806.0
maize,1522.0,13.48,10722.4
maize,1522.0,6.82,10722.4
rice,1522.0,13.48,6243.5
rice,1522.0,6.82,6243.5
wheat,1522.0,13.48,4946.8
wheat,1522.0,6.82,4946.8
maize,1522.0,13.07,10632.1
maize,1522.0,5.94,10632.1
rice,1522.0,13.07,6205.1
rice,1522.0,5.94,6205.1
wheat,1522.0,13.07,5814.3
wheat,1522.0,5.94,5814.3
maize,3240.0,27.22,1449.8
maize,3240.0,22.4,1449.8
rice,3240.0,27.22,4061.8
rice,3240.0,22.4,4061.8
wheat,3240.0,27.22,1848.3
wheat,3240.0,22.4,1848.3
maize,3240.0,27.3,1549.8
maize,3240.0,22.53,1549.8
rice,3240.0,27.3,3995.9
rice,3240.0,22.53,3995.9
wheat,3240.0,27.3,1985.2
wheat,3240.0,22.53,1985.2
maize,3240.0,27.38,1517.5
maize,3240.0,22.67,1517.5
rice,3240.0,27.38,4096.0
rice,3240.0,22.67,4096.0
wheat,3240.0,27.38,1749.0
wheat,3240.0,22.67,1749.0
maize,3240.0,27.42,1546.5
maize,3240.0,22.29,1546.5
rice,3240.0,27.42,4120.2
rice,3240.0,22.29,4120.2
wheat,3240.0,27.42,1877.3
wheat,3240.0,22.29,1877.3
maize,3240.0,27.17,1567.1
maize,3240.0,22.33,1567.1
rice,3240.0,27.17,4059.0
rice,3240.0,22.33,4059.0
wheat,3240.0,27.17,2054.7
wheat,3240.0,22.33,2054.7
maize,3240.0,27.3,1553.7
maize,3240.0,22.27,1553.7
rice,3240.0,27.3,4284.0
rice,3240.0,22.27,4284.0
wheat,3240.0,27.3,2119.3
wheat,3240.0,22.27,2119.3
maize,3240.0,27.12,1629.3
maize,3240.0,22.07,1629.3
rice,3240.0,27.12,4079.4
rice,3240.0,22.07,4079.4
wheat,3240.0,27.12,2182.4
wheat,3240.0,22.07,2182.4
maize,3240.0,27.54,1705.4
maize,3240.0,22.9,1705.4
rice,3240.0,27.54,4644.5
rice,3240.0,22.9,4644.5
wheat,3240.0,27.54,2124.3
wheat,3240.0,22.9,2124.3
maize,3240.0,27.67,1659.8
maize,3240.0,23.07,1659.8
rice,3240.0,27.67,4711.6
rice,3240.0,23.07,4711.6
wheat,3240.0,27.67,2049.7
wheat,3240.0,23.07,2049.7
maize,3240.0,26.77,1796.1
maize,3240.0,21.83,1796.1
rice,3240.0,26.77,4800.9
rice,3240.0,21.83,4800.9
wheat,3240.0,26.77,2153.7
wheat,3240.0,21.83,2153.7
maize,3240.0,26.98,2106.4
maize,3240.0,22.01,2106.4
rice,3240.0,26.98,4732.4
rice,3240.0,22.01,4732.4
wheat,3240.0,26.98,1599.2
wheat,3240.0,22.01,1599.2
maize,3240.0,27.28,2075.5
maize,3240.0,22.5,2075.5
rice,3240.0,27.28,4547.2
rice,3240.0,22.5,4547.2
wheat,3240.0,27.28,1510.6
wheat,3240.0,22.5,1510.6
maize,3240.0,27.77,2277.3
maize,3240.0,22.73,2277.3
rice,3240.0,27.77,4800.1
rice,3240.0,22.73,4800.1
wheat,3240.0,27.77,1735.3
wheat,3240.0,22.73,1735.3
maize,3240.0,27.3,2635.7
maize,3240.0,22.63,2635.7
rice,3240.0,27.3,4803.8
rice,3240.0,22.63,4803.8
wheat,3240.0,27.3,1887.9
wheat,3240.0,22.63,1887.9
maize,3240.0,27.56,2753.7
maize,3240.0,22.69,2753.7
rice,3240.0,27.56,4838.8
rice,3240.0,22.69,4838.8
wheat,3240.0,27.56,2337.1
wheat,3240.0,22.69,2337.1
maize,3240.0,27.51,2536.8
maize,3240.0,22.6,2536.8
rice,3240.0,27.51,4571.7
rice,3240.0,22.6,4571.7
wheat,3240.0,27.51,1549.0
wheat,3240.0,22.6,1549.0
maize,3240.0,27.45,2766.1
maize,3240.0,22.48,2766.1
rice,3240.0,27.45,4902.0
rice,3240.0,22.48,4902.0
wheat,3240.0,27.45,1870.9
wheat,3240.0,22.48,1870.9
maize,3240.0,27.16,2771.2
maize,3240.0,22.07,2771.2
rice,3240.0,27.16,4888.7
rice,3240.0,22.07,4888.7
wheat,3240.0,27.16,1815.1
wheat,3240.0,22.07,1815.1
maize,3240.0,27.68,2684.5
maize,3240.0,22.87,2684.5
rice,3240.0,27.68,4695.6
rice,3240.0,22.87,4695.6
wheat,3240.0,27.68,1694.6
wheat,3240.0,22.87,1694.6
maize,3240.0,27.54,2722.7
maize,3240.0,22.68,2722.7
rice,3240.0,27.54,4122.3
rice,3240.0,22.68,4122.3
wheat,3240.0,27.54,1769.7
wheat,3240.0,22.68,1769.7
maize,3240.0,27.18,2859.1
maize,3240.0,22.33,2859.1
rice,3240.0,27.18,3958.9
rice,3240.0,22.33,3958.9
wheat,3240.0,27.18,1596.4
wheat,3240.0,22.33,1596.4
maize,3240.0,27.56,2905.2
maize,3240.0,22.58,2905.2
rice,3240.0,27.56,4806.6
rice,3240.0,22.58,4806.6
wheat,3240.0,27.56,1519.6
wheat,3240.0,22.58,1519.6
maize,3240.0,27.6,2824.6
maize,3240.0,22.85,2824.6
rice,3240.0,27.6,3837.1
rice,3240.0,22.85,3837.1
wheat,3240.0,27.6,1693.8
wheat,3240.0,22.85,1693.8
maize,1113.0,10.78,4153.5
wheat,1113.0,10.78,3896.7
maize,1113.0,10.19,4482.2
wheat,1113.0,10.19,4186.7
maize,1113.0,11.33,4552.9
wheat,1113.0,11.33,3782.3
maize,1113.0,10.14,4902.7
wheat,1113.0,10.14,3860.5
maize,1113.0,9.24,5219.2
wheat,1113.0,9.24,3690.5
maize,1113.0,10.18,5880.2
wheat,1113.0,10.18,4000.0
maize,1113.0,10.42,5247.4
wheat,1113.0,10.42,4221.4
maize,1113.0,10.51,5558.4
wheat,1113.0,10.51,3297.6
maize,1113.0,11.45,4070.1
wheat,1113.0,11.45,4745.5
maize,1113.0,10.74,5665.9
wheat,1113.0,10.74,4404.7
maize,1113.0,11.18,6376.7
wheat,1113.0,11.18,4591.9
maize,1113.0,10.06,6305.4
wheat,1113.0,10.06,4927.8
maize,1113.0,9.62,6918.2
wheat,1113.0,9.62,4114.4
maize,1113.0,10.56,6531.2
wheat,1113.0,10.56,4583.3
maize,1113.0,11.31,4937.1
wheat,1113.0,11.31,4640.8
maize,1113.0,11.09,7975.9
wheat,1113.0,11.09,5483.3
maize,1113.0,11.06,7350.8
wheat,1113.0,11.06,5189.6
maize,1113.0,10.0,6967.8
wheat,1113.0,10.0,4041.5
maize,1113.0,11.02,5681.7
wheat,1113.0,11.02,5223.7
maize,1113.0,11.12,4337.4
wheat,1113.0,11.12,5347.3
maize,1113.0,11.58,6500.0
wheat,1113.0,11.58,4884.6
maize,703.0,7.54,4810.5
wheat,703.0,7.54,6626.4
maize,703.0,9.31,5217.0
wheat,703.0,9.31,6467.2
maize,703.0,8.7,5821.7
wheat,703.0,8.7,7368.7
